created_at,user,text_clean,text_preprocessed,polarity_score,polarity
2022-10-26 16:06:24+00:00,Heru Sutadi,pakar teknologi informatika dukung uu pdp,"['pakar', 'teknologi', 'informatika', 'dukung', 'uu', 'pdp']",3,positive
2022-10-26 10:21:17+00:00,Japri Indonesia,seperti yang sudah tertulis dalam uu pdp diperlukan petugaspejabat pelindungan data pribadi ppdp untuk memastikan pemrosesan data pribadi sesuai dengan regulasi yang berlaku,"['tulis', 'uu', 'pdp', 'petugaspejabat', 'lindung', 'data', 'pribadi', 'ppdp', 'pemrosesan', 'data', 'pribadi', 'sesuai', 'regulasi', 'laku']",1,positive
2022-10-26 09:17:03+00:00,JPNN.com,hemi lavour febrinandez menilai beberapa ketentuan dalam uu pdp berpotensi menimbulkan masalah ke depan seperti pembentukan lembaga perlindungan data pribadi,"['hem', 'lavour', 'febrinandez', 'nilai', 'tentu', 'uu', 'pdp', 'potensi', 'timbul', 'bentuk', 'lembaga', 'lindung', 'data', 'pribadi']",4,positive
2022-10-25 13:56:08+00:00,CNN Indonesia,uu pdp berlaku kapan lembaga pengawas dibentuk,"['uu', 'pdp', 'laku', 'lembaga', 'awas', 'bentuk']",2,positive
2022-10-25 13:07:20+00:00,Teknokrat IT,sah  indonesia mempunyai produk hukum uu perlindungan data pribadi,"['sah', 'indonesia', 'produk', 'hukum', 'uu', 'lindung', 'data', 'pribadi']",4,positive
2022-10-25 09:45:00+00:00,HukumOnline,september  ruu pdp resmi disahkan menjadi undangundang hal ini menjadi babak baru dalam perkembangan pengaturan mengenai pelindungan data pribadi di indonesia n,"['september', 'ruu', 'pdp', 'resmi', 'sah', 'undangundang', 'babak', 'kembang', 'atur', 'lindung', 'data', 'pribadi', 'indonesia', 'n']",2,positive
2022-10-25 07:45:00+00:00,HukumOnline,mengenal tantangan merumuskan aturan turunan uu pdp hukumonline menggelar survei indonesian inhouse counsel awards  dan indonesia pro bono awards  serta perlunya literasi jasa keuangan untuk mencegah kasus investasi bodongn,"['kenal', 'tantang', 'rumus', 'atur', 'turun', 'uu', 'pdp', 'hukumonline', 'gelar', 'survei', 'indonesian', 'inhouse', 'counsel', 'awards', 'indonesia', 'pro', 'bono', 'awards', 'literasi', 'jasa', 'uang', 'cegah', 'investasi', 'bodongn']",1,positive
2022-10-24 09:05:03+00:00,Databoks Indonesia,undangundang uu pelindungan data pribadi pdp telah disetujui bersama oleh dpr dan presiden dengan disahkannya ruu pdp pemerintah akan melaksanakan pengawasan terhadap tata kelola data pribadi,"['undangundang', 'uu', 'lindung', 'data', 'pribadi', 'pdp', 'tuju', 'dpr', 'presiden', 'sah', 'ruu', 'pdp', 'perintah', 'laksana', 'awas', 'tata', 'kelola', 'data', 'pribadi']",2,positive
2022-10-24 07:51:02+00:00,Japri Indonesia,seringkali kita mendengar istilah data pribadi tetapi kalian tahu tidak sih definisi sebenarnya dari data pribadi dalam uu pdp itu sendirinnpahami dulu yuk definisi yang paling tepat dari data pribadi berikut ini,"['seringkali', 'dengar', 'istilah', 'data', 'pribadi', 'sih', 'definisi', 'data', 'pribadi', 'uu', 'pdp', 'sendirinnpahami', 'yuk', 'definisi', 'data', 'pribadi']",3,positive
2022-10-24 05:15:00+00:00,HukumOnline,lulusan ilmu hukum didorong lirik bidang ham mengenali lokasi penugasan menjadi hakim  tanggung jawab negara tuntaskan pelanggaran ham berat turut dibahas hukumonlinen,"['lulus', 'ilmu', 'hukum', 'dorong', 'lirik', 'bidang', 'ham', 'nali', 'lokasi', 'tugas', 'hakim', 'tanggung', 'negara', 'tuntas', 'langgar', 'ham', 'berat', 'bahas', 'hukumonlinen']",10,positive
2022-10-24 02:27:08+00:00,Dukcapil Kota Mojokerto,jakarta  presiden joko widodo jokowi resmi menandatangani uu perlindungan data pribadi uu itu diberi nomor  tahun nuu pdp diteken jokowi pada  oktober  sebagaimana dilihat detikcom dalam salinannya selasa  uu itu terdiri dari  pasal,"['jakarta', 'presiden', 'joko', 'widodo', 'jokowi', 'resmi', 'menandatangani', 'uu', 'lindung', 'data', 'pribadi', 'uu', 'nomor', 'nuu', 'pdp', 'teken', 'jokowi', 'oktober', 'detikcom', 'salin', 'selasa', 'uu', 'pasal']",2,positive
2022-10-23 11:00:01+00:00,Heru Sutadi,jokowi resmi meneken uu perlindungan data pribadi pdp,"['jokowi', 'resmi', 'teken', 'uu', 'lindung', 'data', 'pribadi', 'pdp']",3,positive
2022-10-22 23:06:03+00:00,Onno W. Purbo,naskah uu  perlindungan data pribadi pdpnn,"['naskah', 'uu', 'lindung', 'data', 'pribadi', 'pdpnn']",1,positive
2022-10-22 02:43:13+00:00,Dwie,menkominfo  mengatakan pemerintah sedang menyiapkan peraturan presiden dan aturan turunan dari undangundang nomor  tahun  tentang pelindungan data pribadi pdpnn,"['menkominfo', 'perintah', 'atur', 'presiden', 'atur', 'turun', 'undangundang', 'nomor', 'lindung', 'data', 'pribadi', 'pdpnn']",2,positive
2022-10-22 02:39:13+00:00,DEWI,menkominfo  pemerintah siapkan perpres dan aturan turunan uu pdpnnmenkominfo juga menyebutkan pemerintah juga akan menggelar konsultasi publik dalam penyusunan aturan turunan uu pdpnn,"['menkominfo', 'perintah', 'siap', 'pres', 'atur', 'turun', 'uu', 'pdpnnmenkominfo', 'perintah', 'gelar', 'konsultasi', 'publik', 'susun', 'atur', 'turun', 'uu', 'pdpnn']",2,positive
2022-10-22 01:24:17+00:00,Om Udien Official,menkominfo juga pemerintah juga akan menggelar konsultasi publik dalam penyusunan aturan turunan uu pdpn,"['menkominfo', 'perintah', 'gelar', 'konsultasi', 'publik', 'susun', 'atur', 'turun', 'uu', 'pdpn']",3,positive
2022-10-21 13:49:49+00:00,ˢʸᵈⁿᵉʸ🥀,menkominfo johnny plate pemerintah siapkan perpres dan aturan turunan uu pdpnnmenkominfo juga menyebutkan pemerintah juga akan menggelar konsultasi publik dalam penyusunan aturan turunan uu pdpnnn,"['menkominfo', 'johnny', 'plate', 'perintah', 'siap', 'pres', 'atur', 'turun', 'uu', 'pdpnnmenkominfo', 'perintah', 'gelar', 'konsultasi', 'publik', 'susun', 'atur', 'turun', 'uu', 'pdpnnn']",2,positive
2022-10-21 11:37:35+00:00,Netizen Indonesia™,menkominfo johnny g plate npemerintah sedang menyiapkan pp dan aturan turunan dari undangundang nomor  tahun  tentang pdpndan pemerintah akan menggelar konsultasi publik dalam penyusunan aturan turunan uu pdpnn  nn,"['menkominfo', 'johnny', 'g', 'plate', 'npemerintah', 'pp', 'atur', 'turun', 'undangundang', 'nomor', 'pdpndan', 'perintah', 'gelar', 'konsultasi', 'publik', 'susun', 'atur', 'turun', 'uu', 'pdpnn', 'nn']",1,positive
2022-10-21 10:18:14+00:00,Udien Marbot Official,wisnu  pemerintah sedang menyiapkan peraturan presiden amp aturan turunan dari uu nomor  tahun  tentang pelindungan data pribadi pdp menkominfo johnny g plate juga pemerintah juga akan menggelar konsultasi publik dalam penyusunan aturan turunan uu pdpn,"['wisnu', 'perintah', 'atur', 'presiden', 'amp', 'atur', 'turun', 'uu', 'nomor', 'lindung', 'data', 'pribadi', 'pdp', 'menkominfo', 'johnny', 'g', 'plate', 'perintah', 'gelar', 'konsultasi', 'publik', 'susun', 'atur', 'turun', 'uu', 'pdpn']",5,positive
2022-10-21 09:22:29+00:00,Ary Prasetyo,menkominfo johnny g plate mengatakan pemerintah sedang menyiapkan peraturan presiden dan aturan turunan dari undangundang nomor  tahun  tentang pelindungan data pribadi pdpn  nn,"['menkominfo', 'johnny', 'g', 'plate', 'perintah', 'atur', 'presiden', 'atur', 'turun', 'undangundang', 'nomor', 'lindung', 'data', 'pribadi', 'pdpn', 'nn']",2,positive
2022-10-21 07:30:18+00:00,Nini Tulalit 🇲🇨🇲🇨🇲🇨,menkominfo johnny g plate  pemerintah sedang menyiapkan perpres dan aturan turunan uu pdp dan mengundang partisipasi masyarakat dengan menggelar konsultasi publik dalam penyusunannyann n nn,"['menkominfo', 'johnny', 'g', 'plate', 'perintah', 'pres', 'atur', 'turun', 'uu', 'pdp', 'undang', 'partisipasi', 'masyarakat', 'gelar', 'konsultasi', 'publik', 'penyusunannyann', 'n', 'nn']",8,positive
2022-10-21 06:38:02+00:00,Babe,menkominfo johnny g plate mengatakan pemerintah sedang menyiapkan peraturan presiden dan aturan turunan dari undangundang nomor  tahun  tentang pelindungan data pribadi pdp n n n,"['menkominfo', 'johnny', 'g', 'plate', 'perintah', 'atur', 'presiden', 'atur', 'turun', 'undangundang', 'nomor', 'lindung', 'data', 'pribadi', 'pdp', 'n', 'n', 'n']",2,positive
2022-10-20 15:36:26+00:00,Heru Sutadi,uu pdp diteken jokowi pengamat minta lembaga perlindungan data pribadi dibentuk,"['uu', 'pdp', 'teken', 'jokowi', 'amat', 'lembaga', 'lindung', 'data', 'pribadi', 'bentuk']",6,positive
2022-10-20 12:22:11+00:00,Muhammad Fadhli,mari kita khatamkan uu pdp malam hari ini,"['mari', 'khatam', 'uu', 'pdp', 'malam']",2,positive
2022-10-20 09:57:19+00:00,Fauzan Akbar,uu pdp udh disahkan ya tiati yg mengelola data pribadi xfxfxxd,"['uu', 'pdp', 'udh', 'sah', 'ya', 'tiati', 'yg', 'kelola', 'data', 'pribadi', 'xfxfxxd']",1,positive
2022-10-20 05:02:34+00:00,kliklegal.id,resmi diundangkan ini kelebihan dan tantangan uuxcxapdp,"['resmi', 'undang', 'lebih', 'tantang', 'uuxcxapdp']",1,positive
2022-10-20 04:49:11+00:00,Jabar Saber Hoaks,hai warginet wargiantihoaksnndalam pemrosesan data pribadi harus memperhatikan prinsip dan etika yang sudah diatur dalam uu perlindungan data pribadi nntetap slalu jaga diri lindungi data pribadi nnsumber uu perlindungan data pribadinn,"['hai', 'warginet', 'wargiantihoaksnndalam', 'pemrosesan', 'data', 'pribadi', 'perhati', 'prinsip', 'etika', 'atur', 'uu', 'lindung', 'data', 'pribadi', 'nntetap', 'slalu', 'jaga', 'lindung', 'data', 'pribadi', 'nnsumber', 'uu', 'lindung', 'data', 'pribadinn']",2,positive
2022-10-19 16:04:31+00:00,Darma 27,uu pdp untuk lindungi data masyarakat   ahy pemimpin perubahan,"['uu', 'pdp', 'lindung', 'data', 'masyarakat', 'ahy', 'pimpin', 'ubah']",1,positive
2022-10-19 12:43:16+00:00,Japri Indonesia,ada informasi baru lagi nih soal undangundang pelindungan data pribadi uu pdp tepatnya pada senin  oktober  presiden jokowi resmi mengesahkan dan mengundangkan uu no tentang pdp,"['informasi', 'nih', 'undangundang', 'lindung', 'data', 'pribadi', 'uu', 'pdp', 'tepat', 'senin', 'oktober', 'presiden', 'jokowi', 'resmi', 'kesah', 'undang', 'uu', 'no', 'pdp']",9,positive
2022-10-26 19:10:05+00:00,Pusat Perpustakaan UIN Jakarta,perlindungan hukum konsumen terhadap data pribadi dalam perjanjian pinjaman online dompet kartu analisis putusan nomor  pidsuspnjktutr,"['lindung', 'hukum', 'konsumen', 'data', 'pribadi', 'janji', 'pinjam', 'online', 'dompet', 'kartu', 'analisis', 'putus', 'nomor', 'pidsuspnjktutr']",3,positive
2022-10-26 10:20:00+00:00,Klinik Hukumonline,jadi paham ktp termasuk data pribadi penduduk yang wajib dilindungi oleh negara pada aturan mana yang menyatakan apakah ktp merupakan data pribadi yang dilindungi yuk pahami lebih lanjut perlindungan data pribadi dalam ktp di sinin,"['paham', 'ktp', 'data', 'pribadi', 'duduk', 'wajib', 'lindung', 'negara', 'atur', 'ktp', 'data', 'pribadi', 'lindung', 'yuk', 'paham', 'lindung', 'data', 'pribadi', 'ktp', 'sin']",4,positive
2022-10-26 09:16:01+00:00,GATRA.com,bssn andalkan satgas perlindungan data pribadi teruskan pencarian bjorkann,"['bssn', 'andal', 'satgas', 'lindung', 'data', 'pribadi', 'terus', 'cari', 'bjorkann']",2,positive
2022-10-25 14:13:45+00:00,hs_thinker,eembut wahuu perlindungan data pribadi baru disahkan lohnitip ya polri,"['eembut', 'wahuu', 'lindung', 'data', 'pribadi', 'sah', 'lohnitip', 'ya', 'polri']",5,positive
2022-10-24 12:20:45+00:00,Gadjah Mada,tunjukan ijazah asli pada siapa nnada uu perlindungan data pribadi yang melindungi,"['tunjuk', 'ijazah', 'asli', 'nnada', 'uu', 'lindung', 'data', 'pribadi', 'lindung']",7,positive
2022-10-24 10:40:08+00:00,Pegasus 🇮🇩,eembut hati ada uu perlindungan data pribadi xfxfxxxfxfxaxaxfxfxaxa,"['eembut', 'hati', 'uu', 'lindung', 'data', 'pribadi', 'xfxfxxxfxfxaxaxfxfxaxa']",1,positive
2022-10-22 04:43:23+00:00,Cito,uu jurnalistik vs uu perlindungan data pribadi hayo menang mana yahahaha,"['uu', 'jurnalistik', 'vs', 'uu', 'lindung', 'data', 'pribadi', 'hayo', 'menang', 'yahahaha']",4,positive
2022-10-22 00:31:00+00:00,Indonesia maju,lembanga perlindungan data pribadi akan ditetapkan presidennn,"['lembanga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennn']",4,positive
2022-10-22 00:27:47+00:00,ilyas,lembaga perlindungan data pribadi akan ditetapkan npresiden jokowin,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'npresiden', 'jokowin']",1,positive
2022-10-22 00:04:24+00:00,Amelia,bmenkominfo sebut lembaga perlindungan data pribadi akan ditetapkan presidenn,"['bmenkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:54:18+00:00,𝕵𝖎𝖓𝖌𝖌𝖆,lembaga perlindungan data pribadi akan ditetapkan presidennn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennn']",1,positive
2022-10-21 23:47:28+00:00,S̢̼̼͖̺͖ͪṛ̣̬̫̍͌ͩ͟i̧̻̻͉̜͑ͪ̾͟k̼̼̞̦̞̼̔a͔͔̜̗̦ͩ̅̎n̫̫̘̗͕,lembaga perlindungan data pribadi akan di tetapkan presidennn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennn']",1,positive
2022-10-21 23:41:34+00:00,Blackat,menkominfo sebut lembaga perlindungan data pribadi akan ditetapkan presidennn,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennn']",1,positive
2022-10-21 23:37:38+00:00,Kelinci cantik,lembaga perlindungan data pribadi akan ditetapkan presidenn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:30:00+00:00,zelion,lembaga perlindungan data pribadi akan di tetapkan oleh presidennn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennn']",1,positive
2022-10-21 23:29:37+00:00,ziva,menkominfo menyebutkan lembaga perlindungan data pribadi akan ditetapkan presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:13:24+00:00,Mimakhayla,lembaga perlindungan data pribadi akan di tetapkan oleh presidennnn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidennnn']",1,positive
2022-10-21 23:07:21+00:00,Novi Roose,menkominfo sebut lembaga perlindungan data pribadi akan ditetapkan presidenn n,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn', 'n']",1,positive
2022-10-21 23:03:28+00:00,wiwid,menkominfo sebut bahwa lembaga perlindungan data pribadi akak ditetapkan oleh presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'akak', 'tetap', 'presiden']",4,positive
2022-10-21 23:02:54+00:00,Yania Lan,menkominfo sebut lembaga perlindungan data pribadi akan ditetapkan presiden semoga dg ini data pribadi semuanya bisa aman dan terlindungi,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'moga', 'dg', 'data', 'pribadi', 'aman', 'lindung']",6,positive
2022-10-21 23:01:34+00:00,sibebe,mengkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan ditetapkan oleh presiden,"['mengkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:01:13+00:00,tauya,menkominfo menyebut lembaga perlindungan data pribadi ditetapkan presiden,"['menkominfo', 'sebut', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:01:00+00:00,Erwan14,menkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan ditetapkan oleh presiden jokowin,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'jokowin']",4,positive
2022-10-21 23:00:55+00:00,sansan,menkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan di tetapkan presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:55+00:00,y || 🐱🍊,lembaga perlindungan data pribadi di tetapkan oleh presiden,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:49+00:00,AnisaR,jokowi mngatakan kalo lembaga perlindungan data pribadi akan di tetapkan oleh presidenn,"['jokowi', 'mngatakan', 'kalo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:42+00:00,Alifia_sholeha,menko minfo mengatakan bahwa lembaga perlindungan data pribadi akan ditetapkan presidenn,"['menko', 'minfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:31+00:00,najiminie,lembaga perlindungan data pribadi akan segera ditetapkan oleh presiden,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:27+00:00,jejenajasih,lembanga perlindungan data pribadi akan di tetapkan presiden,"['lembanga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",7,positive
2022-10-21 23:00:20+00:00,Rohma12,menkominfo sebut lembaga perlindungan data pribadi akan ditetapkan oleh presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:08+00:00,Novita Sari,kominfo menyebutkan bahwa lembaga perlindungan data pribadi akan ditetapkan presiden,"['kominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:06+00:00,Nuna Qia,menkominfo sebut lembaga perlindungan data pribadi akan ditetapkan presiden n,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'n']",4,positive
2022-10-21 23:00:06+00:00,🦋,melihat bahwa datadata sangat penting lembaga perlindungan data pribadi akan ditetapkan oleh presidenn,"['datadata', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:02+00:00,ovel🐥,menkominfo s e b u t lembaga perlindungan data pribadi akan ditetapkan presiden n,"['menkominfo', 's', 'e', 'b', 'u', 't', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'n']",4,positive
2022-10-21 23:00:02+00:00,Zain Fadisa,tetap optimis untuk  dengan perlindungan data pribadi akan ditetapkan oleh pemerintah nih,"['optimis', 'lindung', 'data', 'pribadi', 'tetap', 'perintah', 'nih']",4,positive
2022-10-21 23:00:02+00:00,Satuset,menkominfo menyebur lembaga perlindungan data pribadi akan ditetapkan oleh presidenn,"['menkominfo', 'bur', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:02+00:00,Sabila56,menkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan di tetap kan oleh bapak presiden jokowin,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'presiden', 'jokowin']",1,positive
2022-10-21 23:00:02+00:00,topi2xx,menkominfo menyebutkan jika lembaga perlindungan data pribadi akan ditetapkan presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:01+00:00,あじ,perlindungan data pribadi akan menjadi prioritas pemerintah n,"['lindung', 'data', 'pribadi', 'prioritas', 'perintah', 'n']",1,positive
2022-10-21 23:00:01+00:00,nuez,presiden akan menetapkan lembaga perlindungan data pribadinn,"['presiden', 'tetap', 'lembaga', 'lindung', 'data', 'pribadinn']",4,positive
2022-10-21 23:00:01+00:00,hyoioo,lembaga perlindungan data pribadi di tetapkan oleh presiden sendirin,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'sendirin']",4,positive
2022-10-21 23:00:01+00:00,yosh,menkominfo mengatakan bahwa lembaga perlindungan data pribadi ditetapkan oleh presiden jokowin,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden', 'jokowin']",4,positive
2022-10-21 23:00:01+00:00,asSha,menkominfo menyebutkan lembaga perlindungan data pribadi akan di tetapkan presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:01+00:00,Amelia Redella,lembaga perlindungan data pribadi akan menetapkan presidenn,"['lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:01+00:00,Kareen Melanie,presiden jokowi akan menetapkan lembaga perlindungan data pribadinn,"['presiden', 'jokowi', 'tetap', 'lembaga', 'lindung', 'data', 'pribadinn']",4,positive
2022-10-21 23:00:00+00:00,indra,menkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan ditetapkan oleh presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:00+00:00,afri 🕊,lembaga perlindungan data pribadi masyarakat indonesia akan di tetapkan oleh presiden kata menkominfo nn,"['lembaga', 'lindung', 'data', 'pribadi', 'masyarakat', 'indonesia', 'tetap', 'presiden', 'menkominfo', 'nn']",4,positive
2022-10-21 23:00:00+00:00,Oswald,lembaga perlindungan data pribadi nantinya akn di tetapkan oleh presidenn,"['lembaga', 'lindung', 'data', 'pribadi', 'akn', 'tetap', 'presidenn']",1,positive
2022-10-21 23:00:00+00:00,Alibaba,menkominfo menyebutkan bahwa lembaga perlindungan data pribadi akan di tetapkan oleh presiden,"['menkominfo', 'lembaga', 'lindung', 'data', 'pribadi', 'tetap', 'presiden']",4,positive
2022-10-21 23:00:00+00:00,taeby/ Yang nggak follback sd besok auto unfoll ya,menkominfo sebut presiden yang akan tetapkan lembaga perlindungan data pribadinn,"['menkominfo', 'presiden', 'tetap', 'lembaga', 'lindung', 'data', 'pribadinn']",4,positive
